identifier,name_en,scientific_name,major_group,isscaap_group,isscaap
2010,Mako sharks,Isurus spp,PISCES,"Sharks, rays, chimaeras",38
13295,Malabar blood snapper,Lutjanus malabaricus,PISCES,Miscellaneous coastal fishes,33
2063,"Mantas, devil rays nei",Mobulidae,PISCES,"Sharks, rays, chimaeras",38
2282,Malabar grouper,Epinephelus malabaricus,PISCES,Miscellaneous coastal fishes,33
3277,Pacific chub mackerel,Scomber japonicus,PISCES,Miscellaneous pelagic fishes,37
2138,Silvery lightfish,Maurolicus muelleri,PISCES,Miscellaneous demersal fishes,34
2485,West African Spanish mackerel,Scomberomorus tritor,PISCES,"Tunas, bonitos, billfishes",36
3273,Mackerels nei,Scombridae,PISCES,Miscellaneous pelagic fishes,37
3276,Scomber mackerels nei,Scomber spp,PISCES,Miscellaneous pelagic fishes,37
13433,Knout goby,Mesogobius batrachocephalus,PISCES,Miscellaneous coastal fishes,33
3433,Monsoon river prawn,Macrobrachium malcolmsonii,CRUSTACEA,Freshwater crustaceans,41
18572,Giant barnacle,Austromegabalanus psittacus,CRUSTACEA,Miscellaneous marine crustaceans,47
2294,Golden perch,Macquaria ambigua,PISCES,Miscellaneous freshwater fishes,13
13341,Ridge scaled rattail,Macrourus carinatus,PISCES,"Cods, hakes, haddocks",32
13342,Bigeye grenadier,Macrourus holotrachys,PISCES,"Cods, hakes, haddocks",32
3502,Half-crenated ark,Scapharca subcrenata,MOLLUSCA,"Clams, cockles, arkshells",56
13329,Long pectoral-fin minnow,Macrochirichthys macrochirus,PISCES,"Carps, barbels and other cyprinids",11
2292,Murray cod,Maccullochella peelii,PISCES,Miscellaneous freshwater fishes,13
11580,Longrayed whiptail,Coryphaenoides subserrulatus,PISCES,"Cods, hakes, haddocks",32
14380,Flatwhiskered catfish,Pinirampus pirinampu,PISCES,Miscellaneous freshwater fishes,13
14372,NA,Pimelodus maculatus,PISCES,Miscellaneous freshwater fishes,13
3481,New Zealand lobster,Metanephrops challengeri,CRUSTACEA,"Lobsters, spiny-rock lobsters",43
2560,Megrim,Lepidorhombus whiffiagonis,PISCES,"Flounders, halibuts, soles",31
18649,Beaked whales nei,Mesoplodon spp,MAMMALIA,"Sperm-whales, pilot-whales",62
2103,Pacific menhaden,Ethmidium maculatum,PISCES,"Herrings, sardines, anchovies",35
3415,Metapenaeus shrimps nei,Metapenaeus spp,CRUSTACEA,"Shrimps, prawns",45
18228,Melon-headed whale,Peponocephala electra,MAMMALIA,"Sperm-whales, pilot-whales",62
2455,Flagfin mojarra,Eucinostomus melanopterus,PISCES,Miscellaneous coastal fishes,33
18293,Cannonball jellyfish,Stomolophus meleagris,INVERTEBRATA AQUATICA,Miscellaneous aquatic invertebrates,77
3055,Golden grey mullet,Liza aurata,PISCES,Miscellaneous coastal fishes,33
3054,Thinlip grey mullet,Liza ramada,PISCES,Miscellaneous coastal fishes,33
3052,Parassi mullet,Mugil incilis,PISCES,Miscellaneous coastal fishes,33
2357,Meagre,Argyrosomus regius,PISCES,Miscellaneous coastal fishes,33
3051,White mullet,Mugil curema,PISCES,Miscellaneous coastal fishes,33
2230,Pacific tomcod,Microgadus proximus,PISCES,"Cods, hakes, haddocks",32
2094,Atlantic menhaden,Brevoortia tyrannus,PISCES,"Herrings, sardines, anchovies",35
2899,Gulf menhaden,Brevoortia patronus,PISCES,"Herrings, sardines, anchovies",35
12525,Slender codling,Halargyreus johnsonii,PISCES,"Cods, hakes, haddocks",32
2898,Argentine menhaden,Brevoortia pectinata,PISCES,"Herrings, sardines, anchovies",35
2093,Brazilian menhaden,Brevoortia aurea,PISCES,"Herrings, sardines, anchovies",35
10069,Black caiman,Melanosuchus niger,"AMPHIBIA, REPTILIA",Crocodiles and alligators,73
3247,Myers' icefish,Chionodraco myersi,PISCES,Miscellaneous demersal fishes,34
13477,Mi-iuy (brown) croaker,Miichthys miiuy,PISCES,Miscellaneous coastal fishes,33
2114,Milkfish,Chanos chanos,PISCES,Miscellaneous diadromous fishes,25
2549,Dover sole,Microstomus pacificus,PISCES,"Flounders, halibuts, soles",31
2743,Minke whale,Balaenoptera acutorostrata,MAMMALIA,"Blue-whales, fin-whales",61
13579,Scamp,Mycteroperca phenax,PISCES,Miscellaneous coastal fishes,33
